School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
Ravenshoe State School,Ravenshoe,29,23,--,26,2,7,--,1,97%,100%,23,21,2,20,11, 4,--,--,--,--,6,5,--,5,1,--,--,--,--,--,,,,,,,7,6,7,--,7,2, --,--,--,--,--,22,17,19,2,18,10, 4,--,--,--,--,0,1,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Hill Special School,Red Hill,4,--,4,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redbank Plains State High School,Redbank Plains,192,188,3,171,30,47,--,0,99%,100%,188,169,29,138,117, 36,2,--,2,6,1,1,1,1,--,--,--,--,--,--,3,1,--,--,1, --,47,47,30,7,17,12, 10,2,--,2,1,142,141,140,23,122,105, 26,--,--,--,5,3,7,10,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Redcliffe Special School,Redcliffe,15,--,15,11,--,--,--,0,73%,--,,,,,,,,,,,,,,,,,,,,,15,11,--,10,2, --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redcliffe State High School,Redcliffe,188,175,--,183,15,55,--,1,99%,98%,175,171,14,149,124, 85,2,--,9,25,13,12,1,11,5,1,--,--,1,1,,,,,,,55,53,52,--,44,34, 20,--,--,5,16,133,122,131,15,116,95, 66,2,--,5,10,11,26,14,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Redeemer Lutheran College,Rochedale,117,116,--,51,4,99,--,0,99%,100%,116,51,4,25,40, 19,--,--,1,2,,,,,,,,,,,,,,,,,99,98,33,1,10,27, 7,--,--,1,1,18,18,18,3,15,13, 12,--,--,--,1,29,40,21,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Redland District Special School,Thornlands,8,--,8,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redlands College,Wellington Point,149,147,--,143,18,119,--,0,99%,96%,147,142,18,138,66, 29,3,--,1,11,2,1,--,1,1,--,--,--,--,--,,,,,,,119,117,113,--,110,37, 2,--,--,1,--,30,30,30,18,29,30, 27,3,--,--,11,33,45,31,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Redlynch State College,Redlynch,117,80,--,66,4,62,--,15,82%,95%,80,50,2,13,37, 18,--,--,--,--,37,16,2,5,10,1,--,--,--,--,,,,,,,62,52,29,--,4,24, 4,--,--,--,--,55,28,37,4,14,23, 15,--,--,--,--,2,15,24,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivermount College - Yatala,Yatala,69,66,--,14,8,55,--,1,99%,92%,66,12,6,2,4, 4,--,--,--,1,3,2,2,--,--,1,--,--,--,--,,,,,,,55,55,6,3,--,3, 3,--,--,--,--,14,11,8,5,2,1, 2,--,--,--,1,11,10,17,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside Christian College,Maryborough West,38,31,1,18,8,15,--,1,95%,100%,31,13,6,1,9, 4,--,--,1,--,6,5,2,1,3,1,--,--,--,--,,,,,,,15,15,1,--,--,1, --,--,--,--,--,22,16,17,8,2,11, 5,--,--,1,--,4,6,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Robina State High School,Robina,171,155,--,121,35,71,--,4,96%,93%,155,111,32,47,51, 51,3,--,6,1,16,10,3,6,7,2,--,--,--,--,,,,,,,71,68,30,10,7,10, 13,2,--,6,--,100,87,91,25,46,48, 40,1,--,--,1,7,26,22,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Rochedale State High School,Rochedale,155,145,1,105,10,73,--,2,97%,97%,145,100,10,53,65, 14,3,--,6,2,9,4,--,3,2,--,--,--,--,--,1,1,--,1,--, --,73,69,46,1,18,35, 3,3,--,6,1,81,76,58,9,38,32, 11,--,--,--,1,5,19,20,26,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockhampton Girls' Grammar School,Rockhampton,42,39,--,17,2,35,--,2,93%,93%,39,17,2,3,15, 1,--,--,--,1,,,,,,,,,,,,,,,,,35,34,14,1,3,12, --,--,--,--,--,7,5,3,1,--,3, 1,--,--,--,1,7,12,9,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,
