School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
Balmoral State High School,Morningside,75,51,--,46,20,44,--,6,84%,79%,51,34,16,5,27,7,--,--,--,5,24,12,4,5,7,--,--,--,--,3,,,,,,,44,35,23,7,1,19,4,--,--,--,5,31,16,23,13,9,15,3,--,--,--,3,2,10,14,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcaldine Prep-12 State School,Barcaldine,17,15,--,12,8,8,--,0,100%,100%,15,10,7,--,4,4,--,--,--,1,2,2,1,1,--,--,--,--,--,--,,,,,,,8,8,4,3,--,--,3,--,--,--,--,9,7,8,5,1,4,1,--,--,--,1,0,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaudesert State High School,Beaudesert,196,106,9,129,53,88,--,4,89%,87%,106,61,31,36,31,8,--,--,--,5,81,64,21,52,16,2,--,--,--,2,9,4,1,4,--,--,88,65,32,12,9,17,2,--,--,--,4,99,41,93,40,79,30,8,--,--,--,3,11,20,22,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Beenleigh Special School,Mount Warren Park,7,--,1,--,--,--,--,6,0%,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beenleigh State High School,Beenleigh,129,58,--,100,19,40,--,11,87%,92%,58,46,8,26,38,13,--,--,1,11,71,54,11,38,22,4,--,--,--,2,,,,,,,40,31,22,4,6,15,3,--,--,1,6,89,27,78,15,58,45,14,--,--,--,7,3,8,7,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Beerwah State High School,Beerwah,150,98,1,54,42,69,--,27,74%,87%,98,41,35,--,25,13,--,--,1,5,51,13,7,2,7,1,--,--,--,3,,,,,,,69,54,25,16,1,16,9,--,--,1,5,80,44,29,26,1,16,5,--,--,--,3,13,15,25,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Benowa State High School,Benowa,237,199,--,139,20,115,--,0,97%,92%,199,109,16,91,51,30,1,4,16,21,38,30,4,30,9,3,--,--,1,5,,,,,,,115,107,18,2,--,12,7,--,1,16,8,122,92,121,18,121,48,26,1,3,1,18,23,29,34,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentley Park College,Edmonton,108,61,4,105,10,33,--,0,97%,85%,61,61,5,60,20,6,--,--,--,2,43,43,5,43,2,1,--,--,--,--,4,1,--,1,--,--,33,28,33,--,33,12,3,--,--,--,--,71,33,71,10,70,10,4,--,--,--,2,2,11,7,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Biloela State High School,Biloela,78,54,1,40,8,40,--,3,92%,91%,54,22,5,16,12,4,1,--,3,1,23,18,3,16,2,--,--,--,--,1,,,,,,,40,37,9,1,2,8,2,1,--,3,1,37,17,31,7,30,6,2,--,--,--,1,5,12,13,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackall State School,Blackall,9,7,--,4,1,3,--,2,78%,100%,7,4,1,--,4,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,4,1,--,4,--,--,--,--,--,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackheath and Thornburgh College,Charters Towers,37,32,--,22,8,20,--,1,92%,94%,32,20,8,6,17,4,--,--,2,--,5,2,--,--,2,--,--,--,--,--,,,,,,,20,17,7,2,--,5,3,--,--,2,--,17,15,15,6,6,14,1,--,--,--,--,3,3,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackwater State High School,Blackwater,63,50,--,60,22,18,--,1,98%,86%,50,48,18,13,46,3,--,--,--,1,13,12,4,3,11,--,--,--,--,--,,,,,,,18,17,17,4,--,16,1,--,--,--,--,45,33,43,18,16,41,2,--,--,--,1,1,0,7,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Boonah State High School,Boonah,98,70,--,54,15,53,--,6,92%,88%,70,34,7,16,22,1,--,--,--,3,28,20,8,5,13,2,--,--,--,2,,,,,,,53,48,23,3,11,13,1,--,--,--,4,45,22,31,12,10,22,2,--,--,--,1,7,18,14,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowen State High School,Bowen,75,61,--,68,10,34,--,3,95%,90%,61,58,9,56,18,13,--,--,--,4,14,10,1,8,2,1,--,--,--,2,,,,,,,34,29,32,2,32,4,5,--,--,--,1,41,32,36,8,32,16,9,--,--,--,5,1,11,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bracken Ridge State High School,Bracken Ridge,76,46,--,69,18,33,--,5,93%,87%,46,44,8,43,15,4,--,--,--,4,30,25,10,24,5,1,--,--,--,2,,,,,,,33,30,32,5,32,7,2,--,--,--,4,43,16,37,13,35,13,3,--,--,--,2,5,6,9,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Bray Park State High School,Bray Park,130,78,--,125,18,63,--,1,97%,78%,78,77,14,77,58,2,--,--,--,5,52,48,4,47,28,4,--,--,--,--,,,,,,,63,48,59,5,59,36,1,--,--,--,3,67,30,66,13,65,50,5,--,--,--,2,5,12,20,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Bremer State High School,Ipswich,162,62,1,102,21,65,--,34,77%,92%,62,39,8,25,27,4,--,--,--,5,99,62,13,40,20,7,--,--,--,6,1,1,--,1,--,--,65,48,41,6,24,26,6,--,--,--,6,96,14,60,15,41,21,5,--,--,--,5,5,17,16,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Bribie Island State High School,Bribie Island,135,97,1,90,22,70,--,7,90%,87%,97,66,15,36,40,4,--,--,1,6,37,24,7,18,7,--,--,--,--,1,,,,,,,70,62,36,14,12,24,3,--,--,1,4,64,35,54,8,42,23,1,--,--,--,3,6,20,14,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigidine College,Indooroopilly,102,97,--,29,5,93,--,2,96%,90%,97,28,4,8,21,3,--,--,--,9,5,1,1,1,--,1,--,--,--,--,,,,,,,93,91,24,2,4,20,--,--,--,--,9,9,6,5,3,5,1,4,--,--,--,--,10,25,23,26,9,,,,,,,,,,,,,,,,,,,,,,,,,,
